country,name,Year,Beer,Wine,Spirits,Other
eunld,Netherlands,2010,46.8,36.4,16.9,0
ocnzl,New Zealand,2010,38.2,33.9,15.2,12.5
nanic,Nicaragua,2010,38.8,0.5,60.6,0
afner,Niger,2010,46,13.2,40.7,0
afnga,Nigeria,2010,8,0.4,0.9,90.7
ocniu,Niue,2010,47,1.7,51.3,0
eunor,Norway,2010,44.2,34.7,19,2.1
asomn,Oman,2010,54.6,3.3,42.2,0
aspak,Pakistan,2010,0,0,0,0
ocplw,Palau,2010,77.7,5.9,16.4,0
napan,Panama,2010,69.2,4.6,26,0.2
ocpng,Papua New Guinea,2010,51.3,0.9,47.7,0
sapry,Paraguay,2010,51.1,18.2,28.8,2
saper,Peru,2010,46.8,6.1,47.1,0
asphl,Philippines,2010,26.9,0.3,72.7,0
eupol,Poland,2010,55.1,9.3,35.5,0
euprt,Portugal,2010,30.8,55.5,10.9,2.8
asqat,Qatar,2010,1.2,13.9,84.6,0.3
askor,South Korea,2010,25,1.6,3,70.5
eumda,Moldova,2010,30.4,5.1,64.5,0
eurou,Romania,2010,50,28.9,21.1,0
asrus,Russia,2010,37.6,11.4,51,0
afrwa,Rwanda,2010,11.1,0,0.4,88.4
nakna,Saint Kitts and Nevis,2010,44,7.4,48,0.6
nalca,Saint Lucia,2010,29.7,12.6,56.1,1.5
navct,Saint Vincent and the Grenadines,2010,33.4,3,63.1,0.5
ocwsm,Samoa,2010,70.9,16.6,12.5,0
eusmr,San Marino,2010,0,0,0,0
afstp,Sao Tome and Principe,2010,23.5,60.2,16.3,0
assau,Saudi Arabia,2010,0,1.9,97.9,0.2
afsen,Senegal,2010,55.1,41.3,3.6,0
eusrb,Serbia,2010,51.5,23.9,24.6,0
afsyc,Seychelles,2010,67,22.2,10.8,0
afsle,Sierra Leone,2010,6.4,0.5,0.7,92.3
assgp,Singapore,2010,70.1,13.5,14.7,1.7
eusvk,Slovakia,2010,30.1,18.3,46.2,5.5
eusvn,Slovenia,2010,44.5,46.9,8.6,0
ocslb,Solomon Islands,2010,81.1,2.1,16.7,0
afsom,Somalia,2010,0,,,
afzaf,South Africa,2010,48.1,17.8,16.7,17.4
euesp,Spain,2010,49.7,20.1,28.2,1.8
aslka,Sri Lanka,2010,13,0.1,85.2,1.7
afsdn,Sudan,2010,8,0,13.5,78.5
sasur,Suriname,2010,40,2.3,57.2,0.5
afswz,Swaziland,2010,33.6,0.8,0.7,65
euswe,Sweden,2010,37,46.6,15.1,1.4
euche,Switzerland,2010,31.8,49.4,17.6,1.2
assyr,Syria,2010,8.5,27.9,63.5,0
astjk,Tajikistan,2010,10.2,1.1,88.7,0
astha,Thailand,2010,27,0.4,72.6,0
eumkd,Macedonia [FYROM],2010,47.4,39.9,12.6,0
octls,Timor-Leste,2010,9.3,75.9,14.8,0
aftgo,Togo,2010,48.9,26.9,2.4,21.8
octon,Tonga,2010,57.9,7.6,34.3,0.1
natto,Trinidad and Tobago,2010,54,2,43.8,0.3
aftun,Tunisia,2010,68.6,27.7,3.7,0
astur,Turkey,2010,63.6,8.6,27.9,0
astkm,Turkmenistan,2010,15.4,26.1,58.4,0
octuv,Tuvalu,2010,10,15.5,74.5,0
afuga,Uganda,2010,9.4,0.1,1.9,88.6
euukr,Ukraine,2010,40.5,9,48,2.6
asare,United Arab Emirates,2010,10.3,2.9,86.7,0
eugbr,United Kingdom,2010,36.9,33.8,21.8,7.5
aftza,Tanzania,2010,11,0.2,1.8,87
nausa,United States,2010,50,17.3,32.7,0
saury,Uruguay,2010,30.6,59.9,9.5,0
asuzb,Uzbekistan,2010,18.3,6.3,75.4,0
ocvut,Vanuatu,2010,40.5,22.8,36.7,0
saven,Venezuela,2010,75.6,0.8,23.4,0.2
asvnm,Vietnam,2010,97.3,0.6,2.1,0
asyem,Yemen,2010,100,0,0,0
afzmb,Zambia,2010,22.7,2.9,13.6,60.7
afzwe,Zimbabwe,2010,23.7,1.7,6.8,67.7
nagrl,Greenland,2010,0,0,0,0
