country,name,Year,Beer,Wine,Spirits,Other,Beer_Rank,Wine_Rank,Spirits_Rank,Other_Rank
saarg,Argentina,2010,40.7,48,5.5,5.8,90,11,152,39
ocvut,Vanuatu,2010,40.5,22.8,36.7,0,91,43,69,109
euukr,Ukraine,2010,40.5,9,48,2.6,92,84,53,46
nahnd,Honduras,2010,40.1,1.1,58.7,0,93,147,33,139
sasur,Suriname,2010,40,2.3,57.2,0.5,94,124,35,71
nabrb,Barbados,2010,39.7,10.2,49.3,0.8,95,79,50,62
euhrv,Croatia,2010,39.5,44.8,15.4,0.2,96,17,125,87
eumlt,Malta,2010,39.4,32.7,27.2,0.7,97,31,89,64
eubgr,Bulgaria,2010,39.3,16.5,44.1,0.1,98,59,59,101
nacub,Cuba,2010,38.8,2.2,58.9,0,99,127,32,135
nanic,Nicaragua,2010,38.8,0.5,60.6,0,100,160,31,173
ocnzl,New Zealand,2010,38.2,33.9,15.2,12.5,101,29,127,33
eudnk,Denmark,2010,37.7,48.2,14.1,0,102,10,132,146
asrus,Russia,2010,37.6,11.4,51,0,103,75,47,112
euswe,Sweden,2010,37,46.6,15.1,1.4,104,15,128,57
ockir,Kiribati,2010,36.9,2.2,60.9,0,105,126,30,165
eugbr,United Kingdom,2010,36.9,33.8,21.8,7.5,106,30,104,36
asbhr,Bahrain,2010,36.6,6.3,57,0.1,107,93,36,99
naatg,Antigua and Barbuda,2010,36.4,16.4,47,0.3,108,60,56,81
euhun,Hungary,2010,36.3,29.4,34.3,0,109,32,75,138
eulux,Luxembourg,2010,36.2,42.8,21,0,110,18,108,186
aslao,Laos,2010,35.6,0,64.4,0,111,186,26,190
euand,Andorra,2010,34.6,45.3,20.1,0,112,16,109,161
nabhs,Bahamas,2010,34,14.6,50.4,1,113,64,48,61
afswz,Swaziland,2010,33.6,0.8,0.7,65,114,154,168,16
navct,Saint Vincent and the Grenadines,2010,33.4,3,63.1,0.5,115,117,29,73
eualb,Albania,2010,31.8,19.8,48.4,0,116,52,51,187
askaz,Kazakhstan,2010,31.8,3.1,65.1,0,117,115,24,164
euche,Switzerland,2010,31.8,49.4,17.6,1.2,118,9,117,59
euprt,Portugal,2010,30.8,55.5,10.9,2.8,119,7,143,45
saury,Uruguay,2010,30.6,59.9,9.5,0,120,5,146,130
eumda,Moldova,2010,30.4,5.1,64.5,0,121,103,25,108
eusvk,Slovakia,2010,30.1,18.3,46.2,5.5,122,53,58,40
afgha,Ghana,2010,30,9.7,2.9,57.3,123,81,159,18
sachl,Chile,2010,29.9,40.7,29.4,0,124,20,85,152
nalca,Saint Lucia,2010,29.7,12.6,56.1,1.5,125,71,39,56
nagrd,Grenada,2010,29.3,4.3,66.2,0.2,126,107,23,84
eubih,Bosnia and Herzegovina,2010,29.1,3.2,67.7,0,127,114,22,155
asaze,Azerbaijan,2010,28.7,7.6,63.3,0,128,88,28,158
eugrc,Greece,2010,28.1,47.3,24.2,0.4,129,12,96,76
afgnq,Equatorial Guinea,2010,27.8,72.2,0,0,130,2,187,142
aschn,China,2010,27.8,3,69.2,0,131,116,21,151
asmng,Mongolia,2010,27.6,2.8,69.6,0,132,122,20,179
astha,Thailand,2010,27,0.4,72.6,0,133,163,18,118
asphl,Philippines,2010,26.9,0.3,72.7,0,134,165,17,149
askor,South Korea,2010,25,1.6,3,70.5,135,139,158,14
afbdi,Burundi,2010,24.5,0,0.1,75.4,136,188,174,13
afzwe,Zimbabwe,2010,23.7,1.7,6.8,67.7,137,135,151,15
afstp,Sao Tome and Principe,2010,23.5,60.2,16.3,0,138,4,124,105
afcom,Comoros,2010,23.3,22.2,54.6,0,139,45,40,150
afdji,Djibouti,2010,23.2,5.3,71.5,0,140,101,19,145
euita,Italy,2010,23,65.6,11.5,0,141,3,141,163
saguy,Guyana,2010,23,0.3,76.6,0.1,142,166,12,98
afzmb,Zambia,2010,22.7,2.9,13.6,60.7,143,121,134,17
askgz,Kyrgyzstan,2010,22.6,4.2,72.9,0.3,144,108,16,79
asjor,Jordan,2010,22.4,2.1,75.4,0.1,145,128,14,94
afgnb,Guinea-Bissau,2010,19.6,14.9,22.4,43,146,63,101,20
asjpn,Japan,2010,19.2,4.1,52,24.7,147,109,43,26
eufra,France,2010,18.8,56.4,23.1,1.7,148,6,99,52
asuzb,Uzbekistan,2010,18.3,6.3,75.4,0,149,94,13,111
aslbn,Lebanon,2010,18.2,29.1,52.4,0.3,150,33,42,77
eublr,Belarus,2010,17.3,5.2,46.6,30.9,151,102,57,23
asgeo,Georgia,2010,17,49.8,33.2,0.1,152,8,78,104
afcaf,Central African Republic,2010,16.2,0.6,2.1,81.1,153,159,163,9
afciv,C_te d'Ivoire,2010,16.1,3,0.4,80.5,154,119,170,10
astkm,Turkmenistan,2010,15.4,26.1,58.4,0,155,40,34,124
nadma,Dominica,2010,13.7,7.1,77.9,1.2,156,92,10,58
afmli,Mali,2010,13.3,1.5,2.1,83.1,157,141,161,8
aslka,Sri Lanka,2010,13,0.1,85.2,1.7,158,171,7,54
afrwa,Rwanda,2010,11.1,0,0.4,88.4,159,179,171,5
aftza,Tanzania,2010,11,0.2,1.8,87,160,169,165,6
eumne,Montenegro,2010,10.9,47,41.7,0.4,161,13,63,74
aflbr,Liberia,2010,10.8,1,88.1,0,162,149,5,189
asare,United Arab Emirates,2010,10.3,2.9,86.7,0,163,120,6,128
astjk,Tajikistan,2010,10.2,1.1,88.7,0,164,146,4,129
